Count Sheet Description,On Hand,Count Price,BEK Item #,BEK Name,BEK Brand,BEK Pack/Size,List Price,Match Score
cobbler blackberry,0.00,$15.48,416047,Cobbler Apple,Good Old Days,4 / 6 LB,$40.91,35.0
Cobbler Peach Frozen,2.00,$10.87,416094,Cobbler Peach,Good Old Days,4 / 5 LB,$44.60,80
Cobbler pecan,2.00,$16.98,416043,Cobbler Pecan,Good Old Days,4 / 5 LB,$69.06,100
Cone Cake #30 Dispenser Pack,7.00,$11.79,NO MATCH,,,,,28.0
Cone Waffle Classic Jacketed Regular Sleeve,0.00,$19.14,NO MATCH,,,,,23.3
Cone Waffle Large Bulk,6.00,$5.50,553241,Cone Wafe Large Classic,Joy Cone,14 / 16 ct,$73.59,35.0
Container Foam Sandwich,6.00,$6.58,NO MATCH,,,,,23.3
Container Foam 1 Compartment 9X6x3 Large Hinged White,3.00,$11.65,NO MATCH,,,,,10.0
Container Foam 12 Ounce Squat White Fits 20Jl,19.00,$2.99,NO MATCH,,,,,30.0
Container Foam 16 Ounce Squat,12.00,$1.67,NO MATCH,,,,,28.0
Container Foam 3 Compartment 9X9x3 Large Hinged White,4.50,$10.30,NO MATCH,,,,,10.0
Container Foam 4 Ounce Squat White Plain Lid-Rfs#79356,20.80,$1.39,NO MATCH,,,,,23.3
Container Foam 6 Ounce Squat White 12 Series Lid,24.00,$2.36,NO MATCH,,,,,26.2
Container Foam 8 Ounce Squat White,13.00,$2.86,870020,Cont Foam 8 Oz Extra Squat,Dart,20 / 50 CT,$62.38,42.0
Container Hot Cold Paper 8Oz Ice Cream,14.00,$4.27,NO MATCH,,,,,10.0
Container Paper 12Oz Ice Cream,0.75,$5.01,NO MATCH,,,,,14.0
9 in Container,0.40,$48.16,NO MATCH,,,,,14.0
Container Plastic 32 Ounce 6.35X2.35 Round Black Base Clear Lid Polypropylene,1.80,$42.53,NO MATCH,,,,,12.7
Container Plastic 6X6x3 Clear Hinged Polyethylene Terephthalate,1.50,$24.63,NO MATCH,,,,,10.0
Container Plastic Combo 32 Ounce Rectangle Black Clear Polypropylene,1.00,$54.27,NO MATCH,,,,,15.6
Container Plastic Hinged Large Cake Slice Side View Clear,0.85,$104.19,NO MATCH,,,,,7.8
CONTAINER BOX BARN PAPER 10LLB,0.75,$113.19,NO MATCH,,,,,14.0
Cookie Dough Decadent Red Velvet Frozen,0.30,$84.09,106993,Dough Cookie Red Velvet,David's Cookies,80 / 4.5 OZ,$82.30,56.0
Corn Dog Cheese Jalapeno With Bag Frozen,0.40,$28.00,370013,Corn Dog Chicken Jalapeno,Foster Farms,36 / 4 OZ,$27.31,42.0
Corn Dog Chicken Battered Honey Crunch On Stick Frozen,0.00,$27.97,370008,Corn Dog Chicken,Foster Farms,72 / 4 OZ,$43.77,80
Corn Dog Chili Lovers With Bag Frozen,0.40,$27.50,370049,Corn Dog Chili Cheese,Foster Farms,36 / 4 OZ,$28.13,42.0
Corn nuggets,6.00,$6.19,NO MATCH,,,,,23.3
Corn Super Sweet Fire Roasted Individually Quick Frozen,2.00,$41.10,338480,Corn Cut Fire Roasted,Roastworks,1 / 20 LB,$42.24,42.0
Corn,7.00,$2.89,338480,Corn Cut Fire Roasted,Roastworks,1 / 20 LB,$42.24,80
Crispito Chicken And Cheese Frozen,0.75,$57.39,385211,Crispito Chicken & Cheese,State Fair,72 / 2.75 OZ,$57.39,70.0
Crispito Chicken Cheese Buffalo Style Fully Cooked Frozen,0.85,$57.39,385211,Crispito Chicken & Cheese,State Fair,72 / 2.75 OZ,$57.39,42.0
Cracker saltine,0.70,$24.90,NO MATCH,,,,,23.3
Crumb Cookie Oreo Medium Crunch Reclosable,0.10,$11.10,NO MATCH,,,,,11.7
Cup Plastic Souffle 2 Ounce Translucent Polystyrene,8.80,$1.48,NO MATCH,,,,,20.0
Dip Queso Blanco Frozen,3.00,$14.27,107049,Sauce Cheese Queso Blanco,Jtm Food Group,4 / 5 LB,$57.09,35.0
Dip Roasted Street Corn Mexican Style Frozen,3.00,$16.81,190390,Dip Street Corn Mexican Style,Jtm Food Group,4 / 5 LB,$67.24,58.3
Donut Ring Homestyle Fried Ready To Ice Frozen,0.00,$53.87,228975,Donut Ring Yeast Homestyle,Rich's,84 / 2.1 OZ,$36.53,52.5
Dough Biscuit Southern Style Buttermilk Unsliced Easy Split Frozen,2.00,$53.87,NO MATCH,,,,,17.5
Dough Cookie S'mores Decadent Frozen,0.30,$93.69,412997,Dough Cookie Smores,David's Cookies,80 / 4.5 OZ,$90.90,80
Dough Cookie Triple Chocolate Decadent Pre-Portioned Bake & Serve Frozen,0.00,$84.79,417098,Dough Cookie Triple Chocolate,David's Cookies,45 / 4.5 OZ,$46.22,80
Dough Roll Cinnamon Cinn-Sational Frozen,1.20,$72.24,412443,Dough Cinnamon Roll Gourmet,Rich's,108 / 5 OZ,$82.74,52.5
Dough Turnover Apple Tray Packed Frozen,0.00,$51.98,225292,Dough Apple Turnover,Pillsbury(r),60 / 3.7 OZ,$60.65,42.0
Dressing Honey Mustard Portion Cup Refrigerated,1.25,$28.31,674189,Dressing Pc Honey Mustard Cup,Ken's,100 / 1.5 OZ,$28.88,56.0
Dressing Ranch Buttermilk Western Refrigerated,0.50,$20.40,674216,Dressing Pc Ranch Cup,Ken's,100 / 1.5 OZ,$27.20,35.0
Dressing Ranch Portion Control Cup Refrigerated,0.95,$26.60,674216,Dressing Pc Ranch Cup,Ken's,100 / 1.5 OZ,$27.20,42.0
Dressing Roasted Red Pepper And Garlic,0.15,$24.35,NO MATCH,,,,,14.0
Egg Liquid Whole Pasteurized With Citric Acid Carton Refrigerated,12.70,$4.87,NO MATCH,,,,,20.0
Egg Patty Fried Homestyle With Cracked Black Pepper Table Ready Frozen,0.00,$43.41,NO MATCH,,,,,30.0
Egg Shell On White Medium Grade Aa Loose Pack Refrigerated,8.00,$2.12,142365,Egg Fresh Shell Med Usda Aa,Ellington Farms,1 / 30 DZN,$26.16,35.0
Eggroll Pork And Vegetable Frozen,0.00,$56.23,380237,Egg Roll Pork & Vegetable,Minh,72 / 3 OZ,$56.23,35.0
Flour Hotel & Restaurant All Purpose,4.00,$8.82,119164,Flour Hotel & Restaurant,Ellington Farms,1 / 25 LB,$8.82,80
Foil Sheets 9x10.75,7.00,$18.60,NO MATCH,,,,,23.3
Foil Sheets 12x10.75,4.00,$22.01,876013,Foil Sheet 12x10.75 In,Durable Packaging,12 / 200 CT,$175.06,46.7
Food Release Oil Base With Soy (Pan Spray),7.00,$4.82,NO MATCH,,,,,20.0
Fork Black Max,41.00,$1.71,NO MATCH,,,,,17.5
"Fries 3/8"" Crinkle Cut Battered Highway 40 Seasoned Frozen",6.50,$10.32,NO MATCH,,,,,17.5
Fries Potato Wedge 10 Cut Battered Zero Grams Trans Fat Fry Or Convection Oven Or Oven Frozen,0.00,$10.87,NO MATCH,,,,,15.0
Fries Potato Wedge Seasoned 8 Cut Frozen,0.50,$8.51,216830,Potato Wedge 8 Cut Seasoned,Golden Phoenix,6 / 5 LB,$51.08,58.3
"Fries Straight Cut 3/8"" Battered Frozen Surecrisp",0.00,$7.37,NO MATCH,,,,,23.3
French Toast Stick,0.00,$11.80,401194,French Toast Stick Wg 1.1 Oz,Bake Crafters,2 / 5 LB,$25.15,80
Garlic Granulated,0.00,$55.99,774024,Garlic Powder,Spice Classics,1 / 16 OZ,$7.70,35.0
Garlic Powder,1.00,$18.04,774024,Garlic Powder,Spice Classics,1 / 16 OZ,$7.70,100
Green beans,1.00,$5.82,NO MATCH,,,,,23.3
Gravy Mix Au Jus Instant,7.00,$3.56,157477,Gravy Mix Au Jus,Knorr,12 / 3.7 OZ,$43.67,80
Gravy Mix Biscuit Pepper No Msg Added Bag,8.00,$4.47,797230,Gravy Mix Pepper Biscuit,Pioneer,6 / 24 OZ,$27.40,35.0
Gravy Mix Brown,8.00,$2.73,797032,Gravy Mix Brown,Shawnee Milling Co,6 / 14 OZ,$16.69,100
Grits Creamy Frozen,6.00,$7.83,799424,Cereal Grits Quick White,Quaker,8 / 5 LB,$42.88,35.0
Grits White Quick Enriched,0.00,$3.64,799424,Cereal Grits Quick White,Quaker,8 / 5 LB,$42.88,35.0
Guacamole Southwest Frozen,6.00,$4.67,NO MATCH,,,,,23.3
Ham For Biscuit Slice 1.2 Ounce Frozen,0.00,$12.16,NO MATCH,,,,,14.0
Honey Pure Grade A Portion Cup,0.90,$41.47,677217,Honey Pc Pure Cup,Smucker's,200 / 0.5 OZ,$41.75,52.5
Hot Pocket Pizza Stix Pepperoni Mozzarella Cheese Fry Or Oven Bulk Frozen,0.80,$32.61,NO MATCH,,,,,12.7
Hushpuppy Original Buttermilk .66 Ounce,1.50,$11.92,NO MATCH,,,,,14.0
