Count Sheet Description,On Hand,Count Price,BEK Item #,BEK Name,BEK Brand,BEK Pack/Size,List Price,Match Score
TATER KEG,0.20,$38.72,126922,Tater Keg Bacon Cheddar Chive,Tater Kegs,1 / 10 LB,$38.72,80
"Tomato Diced 3/4"" In Juice Extra Standard",3.00,$5.27,125654,Tomato Diced In Juice,Ellington Farms,6 / #10 CAN,$30.42,35.0
Tomato Diced With Green Chili,8.00,$2.18,125654,Tomato Diced In Juice,Ellington Farms,6 / #10 CAN,$30.42,35.0
Tomato Fruit Stand,0.00,$18.80,NO MATCH,,,,,23.3
Tomato Red 5X6 2 Layer,0.00,$30.39,210025,Tomato 5x6 1 Layer,Markon First Crop,1 / 10 LB,$19.49,42.0
Topping Butterfinger Chopped Refrigerated,0.50,$27.09,NO MATCH,,,,,23.3
Topping Butterscotch Ready To Use,5.30,$8.84,NO MATCH,,,,,23.3
Topping Candy Rainbow Nerds Wonka,0.25,$27.70,NO MATCH,,,,,14.0
topping caramel,5.30,$8.30,792054,Topping Caramel,Lyons Magnus,6 / #5 CAN,$72.34,100
Topping Cookie Oreo Pieces,3.25,$4.58,NO MATCH,,,,,17.5
topping gummy bear,3.25,$18.42,NO MATCH,,,,,23.3
Topping Heath Bar Chopped Refrigerated,1.90,$33.40,NO MATCH,,,,,17.5
Topping M&M's Plain Chopped Refrigerated,0.00,$21.59,NO MATCH,,,,,23.3
Topping Marshmallow Ready To Use,1.30,$7.98,NO MATCH,,,,,23.3
topping peanut pieces,2.30,$12.38,NO MATCH,,,,,23.3
Topping Reeses Pieces Mini Bulk,0.50,$130.49,NO MATCH,,,,,14.0
Tornado Breakfast Sausage Egg Cheese Frozen,2.00,$20.81,385970,Tornado Saus Egg & Cheese,Tornados,24 / 3 OZ,$21.38,42.0
"Tortilla Corn White 6"" Table Enchilada Or Soft Taco",5.20,$4.69,NO MATCH,,,,,17.5
"Tortilla Flour 12""",6.20,$3.39,106051,Tortilla Flour Pressed 12 In,Gran Sabor,12 / 12 CT,$43.93,52.5
"Tortilla Flour 6""",15.00,$2.41,408603,Tortilla Flour Pressed 6 Inch,La Banderita,12 / 24 CT,$27.68,42.0
Tray Food Paper 1 Pound 5.16X3.59X1.48 Red Check,2.80,$8.23,NO MATCH,,,,,26.2
Tray Food Paper 2 Pound Red Check,0.00,$9.04,NO MATCH,,,,,30.0
Tray Food Paper 5 Pound Red Check,0.40,$17.92,198212,Tray Food 5 Lb 500 Red Plaid,Essentials,2 / 250 CT,$35.84,40.0
Vegetable Blend Red & Green Pepper Onion Strip Roasted Frozen,3.00,$4.66,NO MATCH,,,,,17.5
Vegetable Blend Southwest Fire Roasted Corn Black Bean Individually Quick Frozen,7.00,$5.84,349504,Vegetable Blend Corn BLK Bean,Roastworks,6 / 2.5 LB,$35.81,35.0
Waffle Stuffed Sausage Egg Cheese Frozen,1.00,$84.80,NO MATCH,,,,,28.0
Wrap Deli 12X10.75 Interfolded,4.00,$7.42,875102,Paper Waxed Deli 12x10.75,Dixie,12 / 500 CT,$100.24,35.0
wrap foil 14X10.5 Cushion Plain for sandwiches,4.50,$32.20,194431,Foil Sand Wrap 10.5x14 Cushion,Western Plastics,4 / 500 CT,$82.06,42.0
foil wrap 12x10.75,11.70,$22.01,876013,Foil Sheet 12x10.75 In,Durable Packaging,12 / 200 CT,$175.06,46.7
GW SHRIMP,3.00,$8.07,NO MATCH,,,,,23.3
GW ALLIGATOR,2.00,$9.89,NO MATCH,,,,,0
GW CRAWFISH,0.00,$9.10,NO MATCH,,,,,0
GW REGULAR,1.00,$7.46,NO MATCH,,,,,23.3
BATTER MIX,40.00,$2.50,NO MATCH,,,,,23.3
CREOLE,48.00,$1.08,121396,Mix Creole Jambalaya,Tony Chacheres,8 / 40 OZ,$59.18,80
SPICY,54.00,$3.64,109198,Chicken Breast Hot N Spicy Ckd,Tyson Red Label,40 / 4 OZ,$41.06,80
CAJUN/REGULAR PEANUTS,22.00,$8.33,NO MATCH,,,,,0
16OZ PEANUT CUP,39.25,$8.01,NO MATCH,,,,,23.3
32 OZ PEANUT CUP,14.00,$10.22,114792,Cup Foam 32 Oz Pedestal,Dart,25 / 16 CT,$64.65,35.0
LIDS,5.00,$5.01,NO MATCH,,,,,0
Beef Smoked Links (Burnt End),0.00,$12.61,NO MATCH,,,,,17.5
Brisket sliced,12.00,$32.38,NO MATCH,,,,,0
CHAMPS COLLARD GREENS,4.00,$9.98,NO MATCH,,,,,17.5
Cream Cheese Icing,10.70,$6.25,742002,Cheese Cream Loaf Grade A,Golden Harvest,10 / 3 LB,$72.33,46.7
GREEN BEANS,7.00,$7.85,NO MATCH,,,,,23.3
Kolache,0.00,$69.77,NO MATCH,,,,,0
Jalopeno poppers,0.10,$93.03,NO MATCH,,,,,0
MAC AND CHEESE,0.00,$7.10,NO MATCH,,,,,23.3
MASHED POTATOES,4.00,$9.64,NO MATCH,,,,,23.3
RED BEANS,3.00,$6.50,NO MATCH,,,,,17.5
RICE,0.00,$4.18,372064,Casserole Broccoli Rice Cheese,St Clair,4 / 4.75 LB,$50.81,80
SEASONED CORN,0.00,$6.18,NO MATCH,,,,,23.3
Tomato Gravy,3.00,$13.07,NO MATCH,,,,,23.3
STUFFED NACHO'S,0.00,$13.07,NO MATCH,,,,,0
mini taco,0.00,$27.91,NO MATCH,,,,,23.3
sliced pickles,1.50,$11.03,NO MATCH,,,,,0
Deer Burrito Cheddar,38.00,$2.41,NO MATCH,,,,,23.3
Deer Burrito pepper jack,0.00,$2.53,NO MATCH,,,,,28.0
Foil Round Trays for Contigo,1.70,$36.89,NO MATCH,,,,,17.5
Imperial Hot Dog Buns,0.90,$31.17,189664,Bun Hot Dog 6 In Frozen,Fresh From Keith's,8 / 12 CT,$25.45,35.0
